d
Debug= 1
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:21.713
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:22.401
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:22.401
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:22.994
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:22.994
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:23.584
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:23.584
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:24.277
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:24.277
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:24.867
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:24.867
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:25.467
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:25.467
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:26.158
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:26.158
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:26.585
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:26.585
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:26.585
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:26.689
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:26.689
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:26.689
