d
Debug= 1
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:11:03.434
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:03.434
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:04.024
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:04.024
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.478
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.528
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.578
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.628
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.674
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:04.717
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:04.717
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.724
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.774
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.824
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.874
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.924
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:04.970
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:05.020
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:05.070
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:11:05.120
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:05.140
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:05.140
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:05.140
Rcvd msgID: 0x108; 00; F9; 01; 7D; 32; 00; 00; 00  00:11:05.140
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:11:05.179
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:05.225
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:05.225
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:05.225
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:11:05.274
