l
Success...microSD file open...
Setting data logger to ON..sgteold.txt..
d
Debug= 1
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.379
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.399
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.399
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.399
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.408
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.423
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.444
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.444
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.444
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.449
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.462
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.484
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.484
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.484
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.491
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.506
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.529
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.529
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.538
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.551
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.575
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.575
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.575
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.584
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.600
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.617
