Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.189
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:01:49.239
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.339
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:01:49.339
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:49.339
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.341
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.371
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:49.372
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:49.375
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.379
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 24; FF; 00  00:01:49.429
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.469
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:49.469
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.473
Rcvd msgID: 0x109; 01; 01; 00; 00; 00; 24; FF; 00  00:01:49.511
Rcvd msgID: 0x109; 01; 39; 00; 00; 00; 24; FF; 00  00:01:49.602
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.610
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:49.611
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:49.619
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.625
Rcvd msgID: 0x109; 01; F6; 00; 01; 00; 24; FF; 00  00:01:49.653
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.660
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:49.661
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:49.667
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.672
Rcvd msgID: 0x109; 01; C4; 01; 01; 00; 24; FF; 00  00:01:49.707
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.760
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:49.761
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:49.761
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.765
Rcvd msgID: 0x109; 01; 7E; 01; 00; 00; 24; FF; 00  00:01:49.815
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.857
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:49.858
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:49.861
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.865
Rcvd msgID: 0x109; 01; 1D; 01; 00; 00; 24; FF; 00  00:01:49.915
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.950
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:49.950
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:49.953
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.957
Rcvd msgID: 0x109; 01; D9; 00; 00; 00; 24; FF; 00  00:01:50.006
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:50.049
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:50.050
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:50.053
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:50.053
Rcvd msgID: 0x109; 01; A2; 00; 00; 00; 24; FF; 00  00:01:50.103
Rcvd msgID: 0x109; 01; 7B; 00; 00; 00; 24; FF; 00  00:01:50.203
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:50.227
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:50.228
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:50.231
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:50.236
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:50.242
