Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:06.930
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:06.946
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.004
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.008
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.014
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.113
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.117
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.123
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:07.123
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:07.139
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.201
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.205
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.210
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.394
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.398
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.403
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.403
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.407
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.413
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:07.413
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:07.426
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.495
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.499
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.505
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.590
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.594
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.599
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:07.604
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:07.619
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.692
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.696
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.702
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.787
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.790
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.796
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:07.798
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:07.814
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:07.889
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:07.893
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:07.898
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.055
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.059
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.064
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.138
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:08.142
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:08.148
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:08.155
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:08.170
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:08.178
