d
Debug= 1
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:33.617
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:33.617
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:34.207
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:34.207
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:34.900
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:34.900
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:35.491
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:35.491
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:36.081
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:36.081
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:36.778
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:36.778
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:37.368
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:37.368
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:38.012
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:38.012
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:38.659
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:38.659
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:39.253
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:39.253
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:39.945
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:39.945
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:40.537
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:40.537
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:41.137
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:41.137
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:41.832
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:41.832
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:42.418
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:42.418
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:43.018
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:43.018
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:43.706
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:43.706
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:44.298
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:44.298
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:44.886
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:44.886
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:45.581
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:45.581
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:46.176
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:46.176
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:46.767
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:46.767
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:47.459
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:47.459
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:48.057
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:48.057
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:48.646
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:48.646
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:49.345
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:49.345
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:49.933
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:49.933
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:50.578
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:50.578
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:51.224
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:51.224
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:51.820
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:51.820
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:52.512
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:52.512
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:53.103
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:53.103
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:53.704
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:53.704
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:54.400
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:54.400
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:54.988
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:54.988
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:55.588
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:55.588
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:56.278
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:56.278
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:56.875
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:56.875
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:57.464
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:57.464
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:58.161
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:58.161
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:58.752
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:58.752
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:59.342
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:59.342
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:00.032
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:00.032
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:02:00.624
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:00.624
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:01.215
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:01.215
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:01.913
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:01.913
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:02.500
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:02.500
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:02:03.144
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:03.144
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:03.789
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:03.789
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:02:04.387
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:04.387
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:02:05.079
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:05.079
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:05.670
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:05.670
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:06.270
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:06.270
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:06.961
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:06.961
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:07.550
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:07.550
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:02:08.150
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:08.150
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:02:08.844
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:08.844
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:09.436
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:09.436
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:02:10.021
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:10.021
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:10.717
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:10.717
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:02:11.310
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:11.310
