d
Debug= 1
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.099
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 01; 28; 00  00:01:36.140
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.140
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.140
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.140
Rcvd msgID: 0x102; 01; B1; 00; 01; 00; 01; 28; 00  00:01:36.176
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.176
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.176
Rcvd msgID: 0x404; 06; 6B; FF; FE; 00; 00; 00; 00  00:01:36.206
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:36.206
Rcvd msgID: 0x109; 01; A6; 00; 00; 00; 24; FF; 09  00:01:36.218
Rcvd msgID: 0x102; 01; B1; 00; 02; 00; 01; 28; 00  00:01:36.306
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.306
Rcvd msgID: 0x109; 01; A6; 00; 00; 00; 05; FF; 09  00:01:36.350
Rcvd msgID: 0x102; 01; B1; 00; 03; 00; 01; 28; 00  00:01:36.363
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.363
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.363
Rcvd msgID: 0x102; 01; B1; 00; 04; 00; 01; 28; 00  00:01:36.363
Rcvd msgID: 0x102; 01; B1; 00; 05; 00; 01; 28; 00  00:01:36.408
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.408
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.408
Rcvd msgID: 0x102; 01; B1; 00; 06; 00; 01; 28; 00  00:01:36.454
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.454
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.454
Rcvd msgID: 0x102; 01; B1; 00; 07; 00; 01; 28; 00  00:01:36.499
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.499
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.499
Rcvd msgID: 0x102; 01; B1; 00; 08; 00; 01; 28; 00  00:01:36.544
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.544
Rcvd msgID: 0x102; 01; B1; 00; 09; 00; 01; 28; 00  00:01:36.591
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.591
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.591
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.591
Rcvd msgID: 0x109; 01; A6; 00; 00; 00; 05; FF; 09  00:01:36.633
Rcvd msgID: 0x102; 01; B1; 00; 0A; 00; 01; 28; 00  00:01:36.639
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.639
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.639
Rcvd msgID: 0x102; 01; B1; 00; 0B; 00; 01; 28; 00  00:01:36.674
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.674
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.674
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.674
Rcvd msgID: 0x102; 01; B1; 00; 0C; 00; 01; 28; 00  00:01:36.713
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.713
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.713
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.713
Rcvd msgID: 0x102; 01; B1; 00; 0D; 00; 01; 28; 00  00:01:36.752
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.752
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.752
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.752
Rcvd msgID: 0x404; 06; 6C; FF; F3; 00; 00; 00; 00  00:01:36.778
Rcvd msgID: 0x505; FF; FE; 00; 00; 00; 00; 00; 00  00:01:36.778
Rcvd msgID: 0x109; 01; A7; 00; 0D; 00; 05; FF; 09  00:01:36.794
Rcvd msgID: 0x102; 01; B1; 00; 0E; 00; 01; 28; 00  00:01:36.813
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.813
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.813
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.813
Rcvd msgID: 0x102; 01; B1; 00; 0F; 00; 01; 28; 00  00:01:36.828
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.828
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.828
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.828
Rcvd msgID: 0x102; 01; B1; 00; 10; 00; 01; 28; 00  00:01:36.863
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.863
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.863
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.863
Rcvd msgID: 0x102; 01; B1; 00; 11; 00; 01; 28; 00  00:01:36.903
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.903
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.903
Rcvd msgID: 0x102; 01; B1; 00; 12; 00; 01; 28; 00  00:01:36.948
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.948
Rcvd msgID: 0x102; 01; B1; 00; 13; 00; 01; 28; 00  00:01:36.993
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.993
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.993
Rcvd msgID: 0x109; 01; A7; 00; 12; 00; 05; FF; 09  00:01:37.042
Rcvd msgID: 0x102; 01; B1; 00; 14; 00; 01; 28; 00  00:01:37.046
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:37.046
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:37.046
Rcvd msgID: 0x109; 01; A7; 00; 13; 00; 05; FF; 09  00:01:37.088
Rcvd msgID: 0x102; 01; B1; 00; 15; 00; 01; 28; 00  00:01:37.096
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:37.096
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:37.096
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:37.096
Rcvd msgID: 0x102; 01; B1; 00; 16; 00; 01; 28; 00  00:01:37.120
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:37.120
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:37.120
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:37.120
Rcvd msgID: 0x102; 01; B1; 00; 17; 00; 01; 28; 00  00:01:37.160
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:37.160
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:37.160
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:37.160
Rcvd msgID: 0x102; 01; B1; 00; 18; 00; 01; 28; 00  00:01:37.200
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:37.200
